,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2010,10.541666666666666,7.874999999999999,10.35,8.191666666666666,12.225000000000001,8.725000000000001,9.133333333333335,8.416666666666666,9.408333333333333,11.033333333333333,10.491666666666665,6.95,8.966666666666667,10.366666666666667,10.341666666666667,6.008333333333333,7.058333333333334,10.166666666666668,7.949999999999999,8.124999999999998,7.6499999999999995,8.291666666666666,12.575000000000001,7.391666666666666,10.358333333333333,9.575000000000001,7.3,4.625,13.499999999999998,5.833333333333335,9.533333333333333,8.1,8.591666666666669,10.816666666666668,3.7833333333333337,10.241666666666667,6.775000000000001,10.608333333333334,8.433333333333334,11.199999999999998,11.133333333333335,4.974999999999999,9.633333333333335,8.133333333333331,7.833333333333332,6.083333333333335,7.125000000000001,9.991666666666665,8.624999999999998,8.641666666666667,6.449999999999999
2011,9.616666666666667,7.566666666666667,9.5,8.291666666666666,11.70833333333333,8.358333333333334,8.825,7.5,10.158333333333333,9.991666666666667,10.233333333333333,6.8,8.316666666666666,9.691666666666668,9.108333333333334,5.5249999999999995,6.491666666666666,9.375,7.833333333333332,7.891666666666667,7.249999999999999,7.241666666666667,10.391666666666667,6.491666666666667,9.983333333333333,8.491666666666665,6.941666666666666,4.391666666666667,13.016666666666667,5.408333333333334,9.341666666666667,7.516666666666665,8.299999999999999,10.266666666666667,3.4666666666666663,8.85,5.874999999999999,9.5,7.925000000000001,11.024999999999999,10.541666666666668,4.7250000000000005,8.966666666666665,7.758333333333333,6.75,5.466666666666666,6.591666666666668,9.275,8.058333333333335,7.758333333333333,5.791666666666668
2012,7.983333333333332,7.133333333333333,8.333333333333334,7.575,10.375000000000002,7.891666666666667,8.350000000000001,7.208333333333333,9.041666666666666,8.483333333333333,9.191666666666666,6.008333333333333,7.2,8.991666666666667,8.35,5.033333333333333,5.733333333333334,8.166666666666666,7.091666666666668,7.466666666666668,6.966666666666668,6.658333333333334,9.124999999999998,5.608333333333334,9.000000000000002,6.9750000000000005,5.983333333333333,4.016666666666667,11.191666666666665,5.483333333333334,9.333333333333334,7.116666666666666,8.516666666666667,9.291666666666666,3.066666666666667,7.408333333333332,5.266666666666667,8.825,7.825000000000002,10.391666666666667,9.200000000000001,4.266666666666667,7.824999999999999,6.741666666666667,5.400000000000001,4.925,6.058333333333333,8.108333333333334,7.491666666666667,7.033333333333335,5.308333333333333
2013,7.216666666666668,7.0,7.741666666666666,7.216666666666666,8.941666666666666,6.849999999999999,7.808333333333333,6.691666666666666,8.491666666666667,7.233333333333333,8.2,4.883333333333332,6.116666666666667,9.041666666666666,7.633333333333333,4.733333333333333,5.308333333333333,8.016666666666667,6.675,6.650000000000001,6.566666666666666,6.716666666666668,8.783333333333333,4.958333333333333,8.533333333333333,6.733333333333332,5.408333333333332,3.766666666666667,9.625,5.083333333333333,8.241666666666665,6.941666666666666,7.708333333333333,7.958333333333333,2.916666666666666,7.425,5.283333333333333,7.874999999999999,7.341666666666666,9.266666666666666,7.616666666666666,3.7833333333333337,7.733333333333333,6.25,4.591666666666666,4.408333333333333,5.7,7.033333333333332,6.791666666666667,6.7,4.716666666666667
2014,6.758333333333334,6.866666666666666,6.8,6.016666666666666,7.5,4.991666666666666,6.625,5.716666666666666,7.766666666666666,6.275000000000001,7.099999999999999,4.358333333333333,4.833333333333334,7.099999999999999,5.958333333333332,4.241666666666667,4.533333333333332,6.458333333333332,6.366666666666667,5.608333333333333,5.816666666666666,5.75,7.233333333333334,4.158333333333332,7.491666666666666,6.133333333333333,4.658333333333333,3.266666666666667,7.916666666666667,4.283333333333333,6.741666666666667,6.675000000000002,6.333333333333335,6.316666666666666,2.6666666666666665,5.800000000000001,4.508333333333334,6.766666666666667,5.875000000000001,7.6916666666666655,6.458333333333333,3.4083333333333328,6.600000000000001,5.116666666666667,3.8166666666666678,3.9333333333333322,5.233333333333334,6.125,6.633333333333333,5.3999999999999995,4.133333333333334
2015,6.083333333333333,6.533333333333332,6.05,5.0249999999999995,6.2,3.841666666666667,5.725000000000001,4.85,6.883333333333333,5.441666666666666,5.966666666666666,3.566666666666667,4.2250000000000005,5.958333333333333,4.833333333333333,3.775000000000001,4.1499999999999995,5.275,6.316666666666666,4.383333333333334,5.075,4.800000000000001,5.408333333333334,3.6750000000000003,6.375,4.983333333333333,4.191666666666667,2.991666666666667,6.758333333333334,3.358333333333333,5.7749999999999995,6.508333333333333,5.258333333333333,5.716666666666666,2.7916666666666665,4.908333333333333,4.391666666666667,5.583333333333333,5.283333333333334,6.0,5.966666666666666,3.1,5.6000000000000005,4.433333333333333,3.600000000000001,3.5666666666666664,4.458333333333333,5.641666666666667,6.741666666666667,4.5249999999999995,4.325
2016,5.8500000000000005,6.8500000000000005,5.3999999999999995,3.9499999999999993,5.483333333333333,3.216666666666667,5.158333333333333,4.516666666666667,6.1000000000000005,4.816666666666666,5.366666666666666,2.9499999999999993,3.8000000000000007,5.808333333333334,4.425,3.583333333333334,4.033333333333334,5.1416666666666675,6.066666666666667,3.7833333333333345,4.4416666666666655,3.8833333333333333,5.000000000000001,3.8666666666666667,5.824999999999999,4.575,4.125,3.066666666666667,5.733333333333334,2.8666666666666667,4.983333333333333,6.616666666666667,4.85,5.083333333333334,3.091666666666667,5.041666666666667,4.808333333333333,4.808333333333333,5.391666666666667,5.191666666666666,5.033333333333334,2.983333333333334,4.7333333333333325,4.633333333333332,3.4333333333333322,3.233333333333334,4.100000000000001,5.283333333333333,6.075,4.016666666666667,5.325
2017,4.433333333333333,6.941666666666667,4.891666666666667,3.7083333333333326,4.783333333333334,2.6999999999999997,4.7,4.475,6.058333333333334,4.2,4.683333333333333,2.4166666666666665,3.225,4.908333333333332,3.541666666666666,3.0916666666666663,3.658333333333333,4.908333333333334,5.125,3.4000000000000004,4.241666666666668,3.758333333333334,4.591666666666667,3.4083333333333337,5.1,3.7583333333333333,3.941666666666666,2.8833333333333333,5.05,2.7249999999999996,4.616666666666668,5.8500000000000005,4.675000000000001,4.474999999999999,2.6666666666666665,4.966666666666667,4.241666666666666,4.116666666666668,4.883333333333334,4.416666666666666,4.2666666666666675,3.1833333333333336,3.75,4.333333333333334,3.258333333333334,2.974999999999999,3.6999999999999997,4.708333333333334,5.191666666666666,3.266666666666667,4.1833333333333345
2018,3.941666666666666,6.6000000000000005,4.799999999999999,3.7000000000000006,4.191666666666667,3.25,4.116666666666666,3.7750000000000004,5.558333333333333,3.5583333333333322,3.9250000000000007,2.441666666666667,2.841666666666667,4.283333333333334,3.4499999999999997,2.524999999999999,3.3499999999999996,4.341666666666665,4.883333333333333,3.375,3.9333333333333336,3.35,4.133333333333334,2.908333333333333,4.766666666666668,3.1833333333333336,3.7166666666666672,2.7916666666666665,4.558333333333333,2.5333333333333328,4.141666666666667,4.941666666666666,4.1083333333333325,3.8916666666666675,2.6250000000000004,4.575000000000001,3.3750000000000004,4.133333333333334,4.291666666666668,4.058333333333333,3.4083333333333337,3.008333333333333,3.491666666666666,3.850000000000001,3.1250000000000004,2.6583333333333337,2.9749999999999996,4.4833333333333325,5.233333333333334,3.0,4.075000000000001
2019,3.316666666666667,6.324999999999999,4.8999999999999995,3.5749999999999997,4.108333333333333,3.0416666666666665,3.7166666666666672,3.4499999999999993,5.491666666666666,3.316666666666667,3.625,2.725,2.866666666666666,4.133333333333333,3.4000000000000004,2.4833333333333334,3.316666666666667,4.208333333333333,4.558333333333333,3.1249999999999996,3.7166666666666672,2.941666666666666,4.1000000000000005,3.2416666666666667,5.15,3.225,3.525,2.991666666666667,4.091666666666667,2.483333333333334,3.5833333333333335,4.933333333333333,3.9583333333333335,4.0,2.4,4.241666666666668,3.266666666666666,4.108333333333333,4.016666666666667,3.6583333333333337,3.066666666666666,2.9416666666666664,3.3333333333333326,3.541666666666666,2.766666666666666,2.2333333333333334,2.8000000000000003,4.541666666666667,4.883333333333334,3.0500000000000003,3.708333333333334
